ObjID,ra,dec,u,g,r,i,z
1237666299433585281,299.98652334,-1.02573255,21.2724,19.652784,18.845636,18.415689,18.261265
1237666299433585331,299.9960649,-0.96766376,21.702751,19.951891,19.2101,18.879059,18.733732
1237666299433585367,300.01757098,-0.97469432,21.57238,20.003246,19.263248,18.861341,18.734058
1237666299433585368,300.01782939,-0.97552063,24.617702,20.737303,19.418005,18.750334,18.402224
1237666299433585369,300.01604182,-0.97292266,22.398109,20.306082,19.346191,18.874821,18.704422
1237666299433585370,300.01525959,-0.97075715,22.576576,20.698435,19.722792,19.326607,19.368551
1237666299433585371,300.01404674,-0.97047895,24.345043,24.085005,23.532246,21.200552,20.465425
1237666299433585372,300.01455646,-0.97206614,24.149469,22.037344,21.544357,21.407598,21.0784
1237666299433585411,300.03171864,-1.0062472,21.599031,19.72929,19.022156,18.615088,18.530798
1237666299433585772,300.00451852,-0.9679329,25.651276,22.600307,20.780094,18.874329,17.94763
1237666299433585773,300.00254675,-0.96857737,21.381926,20.163029,19.609896,19.329245,19.211956
1237666299433585775,300.02654227,-0.9888712,24.398617,21.474012,19.758261,18.750021,18.287193
1237666299433585776,300.02682773,-0.98772635,24.366907,22.710302,21.036894,20.470516,20.16794
1237666299433585777,300.02689825,-0.98608751,24.809599,24.897045,22.663183,22.052872,22.102478
1237666299433585943,299.9751474,-1.01733317,24.598904,21.882177,21.172579,20.691599,20.496864
1237666299433586001,299.98972813,-1.02937469,22.79113,21.214376,20.321339,19.865068,19.77961
1237666299433586055,300.00486896,-1.03224087,26.23168,22.481441,21.28582,20.884481,20.498398
1237666299433586056,300.00241347,-1.03146568,22.476698,22.858263,21.913042,21.452578,21.725412
1237666299433586057,300.00261864,-1.03275482,26.195847,23.202215,22.025732,21.681969,22.671989
1237666299433586100,300.01126857,-0.96976781,24.433332,21.766428,20.913462,20.76169,20.27718
1237666299433586106,300.01222312,-1.02774387,25.182957,21.774088,20.271828,19.32177,18.779833
1237666299433586107,300.01391806,-1.0287054,24.784225,26.399485,22.218952,21.013876,20.297215
1237666299433586182,300.02546946,-1.01636115,23.731491,22.103235,21.229771,20.759447,20.566872
1237666299433586183,300.02635518,-1.01785477,23.953535,25.463322,23.902197,21.616493,21.100143
1237666299433586196,300.0285295,-1.00058404,23.350359,22.573721,21.012959,19.829981,19.35335
1237666299433586197,300.02897791,-1.00016685,23.303537,22.179964,20.829256,19.875874,19.441603
1237666299433586199,300.02983671,-1.00195881,25.213411,25.528809,22.673731,21.494104,21.764204
1237666299433586201,300.0296242,-0.99321006,23.164375,21.041149,20.13448,19.732409,19.665394
1237666299433586202,300.02962278,-0.99216005,25.362238,24.138865,22.923855,21.5392,20.524477
1237666299433586203,300.02877086,-0.99371798,23.455853,26.205282,24.156115,21.323027,20.283051
1237666299433586204,300.02807438,-0.99489728,26.42392,24.966484,22.78306,21.251987,20.557964
1237666299433586205,300.02823345,-0.99198941,25.78583,26.097738,22.986361,21.353657,20.762594
1237666299433586208,300.03244601,-0.99798226,25.331007,21.288134,20.353889,19.811483,19.831715
1237666299433586755,299.98397484,-0.97086449,25.091835,23.289549,21.111282,19.995981,19.319839
1237666299433586769,299.98524552,-1.02960899,23.686117,23.797276,22.004995,21.473326,21.595211
1237666299433586784,299.9920833,-1.02845975,25.186745,25.658264,23.576862,21.972931,20.482653
1237666299433586785,299.99181034,-1.02752294,24.540234,23.293314,22.351341,21.206697,20.642262
1237666299433586896,300.02502282,-1.01976357,26.22961,23.961437,21.703201,21.058687,20.448065
1237666299433586903,300.03042334,-0.98809072,22.989738,24.143179,21.954599,21.36482,20.676363
1237666299433586908,300.03132697,-1.00006279,23.895657,22.89189,21.166111,19.851505,19.172953
1237666299433586909,300.03122723,-1.01058509,25.838165,23.852226,22.019585,21.22464,20.467293
1237666299433587293,299.99828137,-0.96794664,23.649368,23.860607,22.46961,21.019363,20.351496
1237666299433587296,300.00140071,-0.97111945,22.51947,23.632254,22.681356,21.670073,20.937117
1237666299433587346,300.02841929,-0.98461007,22.09704,23.509811,22.288969,21.197069,20.753641
